date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:46	6622/6622	---M-Z	200	added ('OK')	text/html	etag:%2219de-59dea69d09a22-gzip%22	http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html	(from )
13:57:46	46/46	---M--	200	added ('OK')	text/plain	etag:%222e-5c700de31570f%22	http://www.smartjava.org/robots.txt		(from )
13:57:50	3493/3493	---M-Z	200	added ('OK')	application/javascript	etag:%22da5-59dea69d8c7ef-gzip%22	http://www.smartjava.org/ltjs/libs/stats.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/stats.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:52	8339/8339	---M-Z	200	added ('OK')	application/javascript	etag:%222093-59dea69d6474b-gzip%22	http://www.smartjava.org/ltjs/libs/OrbitControls.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/OrbitControls.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:53	1007/1007	---M-Z	200	added ('OK')	application/javascript	etag:%223ef-59dea69d2ad65-gzip%22	http://www.smartjava.org/ltjs/libs/postprocessing/ShaderPass.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/postprocessing/ShaderPass.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:53	640/640	---M-Z	200	added ('OK')	application/javascript	etag:%22280-59dea69d3555e-gzip%22	http://www.smartjava.org/ltjs/libs/shaders/CopyShader.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/shaders/CopyShader.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:54	97266/97266	---M-Z	200	added ('OK')	application/javascript	etag:%2217bf2-59dea69d800b6-gzip%22	http://www.smartjava.org/ltjs/libs/dat.gui.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/dat.gui.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:55	2900/2900	---M-Z	200	added ('OK')	application/javascript	etag:%22b54-59dea69d25b5d-gzip%22	http://www.smartjava.org/ltjs/libs/postprocessing/EffectComposer.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/postprocessing/EffectComposer.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:55	1622/1622	---M-Z	200	added ('OK')	application/javascript	etag:%22656-59dea69d27a9d-gzip%22	http://www.smartjava.org/ltjs/libs/postprocessing/MaskPass.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/postprocessing/MaskPass.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
13:57:56	1410/1410	---M-Z	200	added ('OK')	application/javascript	etag:%22582-59dea69d26afd-gzip%22	http://www.smartjava.org/ltjs/libs/postprocessing/FilmPass.js	C:/My%20Web%20Sites/java%20earth/www.smartjava.org/ltjs/libs/postprocessing/FilmPass.js	(from http://www.smartjava.org/ltjs/chapter-11/01-basic-effect-composer.html)
